name,categories,subcategories,regions,online_redeem,voucher_min,voucher_max,top_products,url
adidas,אופנה ושופינג,בגדי ילדים ותינוקות|נעליים ותיקים|בגדי ספורט,"ת""א והסביבה|מודיעין, השפלה והסביבה|פתח תקווה ובקעת אונו|ירושלים והסביבה|חיפה והסביבה|אילת והערבה|אשקלון, אשדוד והסביבה|הנגב|מרכז|צפון|דרום|סניפים בפריסה ארצית",no,1,1500,,https://buyme.co.il/supplier/2208
מסעדת MOSHIK& של השף מושיק רוט,מסעדות וקולינריה,מסעדות שף,"ת""א והסביבה",no,1,1500,ארוחת טעימות ליחיד (950); ארוחת טעימות זוגית (1900); טעימות יחיד + וויין פרינג (1320),https://buyme.co.il/supplier/17574227
טרקלין חשמל,לבית,חשמל ואלקטרוניקה,"ת""א והסביבה|השרון והסביבה|מרכז|סניפים בפריסה ארצית",no,1,1500,,https://buyme.co.il/supplier/15673923
עגליס,תינוקות וילדים,עגלות ומנשאים|צעצועים|טקסטיל ועיצוב חדרי ילדים|ריהוט חדרי ילדים,ירושלים והסביבה|חיפה והסביבה|מרכז|צפון|סניפים בפריסה ארצית,yes,1,1500,,https://buyme.co.il/supplier/17573606
רשת מלונות ישרוטל,חדש על המדף|מלונות ונופש,מלונות יוקרה|מלונות בוטיק|מלונות בפריסה ארצית,סניפים בפריסה ארצית,no,1,1500,,https://buyme.co.il/supplier/17574144
MAC,טיפוח ויופי,,"ת""א והסביבה|השרון והסביבה|מודיעין, השפלה והסביבה|פתח תקווה ובקעת אונו|ירושלים והסביבה|חיפה והסביבה|אילת והערבה|אשקלון, אשדוד והסביבה|הנגב|מרכז|צפון|דרום|סניפים בפריסה ארצית",no,,,,https://buyme.co.il/supplier/8180660
סניפים נבחרים ברשת קפה גרג,מסעדות וקולינריה,בתי קפה,"ת""א והסביבה|השרון והסביבה|מודיעין, השפלה והסביבה|פתח תקווה ובקעת אונו|ירושלים והסביבה|חיפה והסביבה|אילת והערבה|הנגב|מרכז|צפון|דרום|סניפים בפריסה ארצית",no,1,1001,בוקר יחיד (84); בוקר זוגי ובגדול ברשת גרג (156),https://buyme.co.il/supplier/351980
"קולומביה, שבילים ואווטסיידרס",לגוף ולנפש|אופנה ושופינג,ציוד ספורט ואקסטרים|בגדי ילדים ותינוקות|נעליים ותיקים|בגדי ספורט,"השרון והסביבה|מודיעין, השפלה והסביבה|פתח תקווה ובקעת אונו|ירושלים והסביבה|חיפה והסביבה|הגליל והגולן|אילת והערבה|אשקלון, אשדוד והסביבה|הנגב|מרכז|צפון|דרום|סניפים בפריסה ארצית",no,1,1500,,https://buyme.co.il/supplier/13020010
3030,ספא וימי כיף|לגוף ולנפש,ספא וימי כיף,"ת""א והסביבה",no,1,1500,חבילת ספא ליחיד בספא 3030 (679); שהיה באמבט בזלת & עיסוי זוגי בספא 3030 (1289); טיפול מסורתי בחמאם & עיסוי זוגי בספא 3030 (1499),https://buyme.co.il/supplier/17573513
מילק אנד האני,מסעדות וקולינריה|חוויות|סדנאות והעשרה|לגוף ולנפש,יקבים ומבשלות|חנויות קולינריה ואלכוהול|חוויות קולינריות|חוויות קולינריות|יקבים ומבשלות|סדנאות והעשרה|סדנאות וקורסים|סדנאות והעשרה,"ת""א והסביבה|מרכז|מימוש אונליין",yes,1,1500,סיור בחדר החביות לזוג בקבוצה (240); M&H CLASSIC עד הבית (264); ELEMENTS RED WINE CASK עד הבית (334),https://buyme.co.il/supplier/6301805
Fit House,לגוף ולנפש,אימוני כושר,"ת""א והסביבה",no,1,1500,5 FITS TO ME (410); 10 FITS TO ME (780); 25 FITS TO ME (1825),https://buyme.co.il/supplier/17573533
כרמלה,מסעדות וקולינריה,חנויות קולינריה ואלכוהול,סניפים בפריסה ארצית|מימוש אונליין,yes,1,1500,,https://buyme.co.il/supplier/17574177
WeShoes,אופנה ושופינג,נעליים ותיקים,"ת""א והסביבה|השרון והסביבה|מודיעין, השפלה והסביבה|פתח תקווה ובקעת אונו|ירושלים והסביבה|חיפה והסביבה|הגליל והגולן|אילת והערבה|אשקלון, אשדוד והסביבה|הנגב|מרכז|צפון|דרום",no,1,1500,,https://buyme.co.il/supplier/7693613
COTTON CLUB,חדש על המדף|לבית,טקסטיל ועיצוב הבית,מרכז|צפון|דרום|סניפים בפריסה ארצית|מימוש אונליין,yes,1,1500,,https://buyme.co.il/supplier/17574242
Biamba,תינוקות וילדים,,מימוש אונליין,yes,1,1500,,https://buyme.co.il/supplier/17573772
ASA Izakaya,מסעדות וקולינריה,מסעדות שף,"ת""א והסביבה",no,1,1500,,https://buyme.co.il/supplier/17574112
KFC,מסעדות וקולינריה,מסעדות ומזון מהיר,"ת""א והסביבה|השרון והסביבה|פתח תקווה ובקעת אונו|אשקלון, אשדוד והסביבה|הנגב|מרכז|צפון|דרום|סניפים בפריסה ארצית",no,1,1500,,https://buyme.co.il/supplier/17574081
Bina & Bino,תינוקות וילדים|אופנה ושופינג,בגדי ילדים ותינוקות|אופנת בוטיק ישראלית|בגדי ילדים ותינוקות,מימוש אונליין,yes,1,1500,,https://buyme.co.il/supplier/17573627
מלון פרא,מלונות ונופש,מלונות יוקרה|מלונות בוטיק,צפון|הגליל והגולן,no,1,1500,,https://buyme.co.il/supplier/17573626
IT MOMZ,,,מימוש אונליין,yes,1,1500,,https://buyme.co.il/supplier/17574368
דרך היין,מסעדות וקולינריה|חוויות|סדנאות והעשרה|לגוף ולנפש,חנויות קולינריה ואלכוהול|סדנאות והעשרה|סדנאות והעשרה,"ת""א והסביבה|השרון והסביבה|מודיעין, השפלה והסביבה|מרכז|סניפים בפריסה ארצית",no,1,1001,,https://buyme.co.il/supplier/137281
הסטודיו לבישול,מסעדות וקולינריה|חוויות|סדנאות והעשרה|לגוף ולנפש,חוויות קולינריות|גיפט קארד לחוויות משותפות|חוויות קולינריות|סדנאות והעשרה|סדנאות וקורסים|סדנאות והעשרה,"ת""א והסביבה|מרכז",no,1,1000,השתתפות יחיד בסדנת בישול (410); השתתפות זוגית בסדנת בישול (779); השתתפות ל-4 אנשים בסדנת בישול (1508),https://buyme.co.il/supplier/48170
Dé Rococo,אופנה ושופינג,אופנת בוטיק ישראלית,"ת""א והסביבה|מימוש אונליין",yes,1,1500,,https://buyme.co.il/supplier/17573578
מאפיית לחמים,מסעדות וקולינריה,"בתי קפה|קונדיטוריות, קינוחים ומתוקים",מרכז|מימוש אונליין,yes,1,1500,עוגת גבינה (60),https://buyme.co.il/supplier/17573731
SOHO,לבית|אופנה ושופינג,טקסטיל ועיצוב הבית|כלי בישול ומטבח|נעליים ותיקים,"ת""א והסביבה|מודיעין, השפלה והסביבה|ירושלים והסביבה|חיפה והסביבה|מרכז|צפון|סניפים בפריסה ארצית|מימוש אונליין",yes,1,1500,,https://buyme.co.il/supplier/4889550
ארקיע,חדש על המדף|מלונות ונופש|חוויות,חבילות נופש בארץ ובחול|גיפט קארד לחוויות משותפות,מימוש אונליין,yes,1,1500,,https://buyme.co.il/supplier/17574175
פרימה,מלונות ונופש,מלונות בפריסה ארצית,"ת""א והסביבה|מרכז|צפון|דרום|ירושלים והסביבה|חיפה והסביבה|השרון והסביבה|אילת והערבה|סניפים בפריסה ארצית",no,1,1500,"חבילת לינה זוגית שאנטי | אמצ""ש (1400); חבילת לינה זוגית פרמיום | סופ""ש (900); חבילת זוגית פרמיום | אמצ""ש (800)",https://buyme.co.il/supplier/10778595
CASTRO,אופנה ושופינג,בגדי ילדים ותינוקות,"ת""א והסביבה|השרון והסביבה|ירושלים והסביבה|חיפה והסביבה|אילת והערבה|מרכז|צפון|דרום|סניפים בפריסה ארצית|מימוש אונליין",yes,,,,https://buyme.co.il/supplier/4747
LAMER,תינוקות וילדים,עגלות ומנשאים,סניפים בפריסה ארצית|מימוש אונליין,yes,1,1500,,https://buyme.co.il/supplier/17573830
Claro,מסעדות וקולינריה,מסעדות שף,"ת""א והסביבה|מרכז",no,1,1450,מגש בראנץ' זוגי בסוף שבוע (236),https://buyme.co.il/supplier/1229712
KIKO MILANO,טיפוח ויופי,,סניפים בפריסה ארצית|מימוש אונליין,yes,,,,https://buyme.co.il/supplier/17573365
Femina,אופנה ושופינג,הלבשה תחתונה,"ת""א והסביבה|השרון והסביבה|מודיעין, השפלה והסביבה|ירושלים והסביבה|חיפה והסביבה|אילת והערבה|הנגב|מרכז|צפון|דרום|סניפים בפריסה ארצית|מימוש אונליין",yes,1,1500,,https://buyme.co.il/supplier/6235715
סניפים נבחרים ברשת קפה קפה,מסעדות וקולינריה,בתי קפה,"ת""א והסביבה|השרון והסביבה|פתח תקווה ובקעת אונו|ירושלים והסביבה|חיפה והסביבה|אילת והערבה|הנגב|מרכז|צפון|דרום|סניפים בפריסה ארצית",no,1,1500,,https://buyme.co.il/supplier/22840
JO MALONE LONDON,טיפוח ויופי,,"ת""א והסביבה|פתח תקווה ובקעת אונו",no,,,,https://buyme.co.il/supplier/8183725
שני יעקובי,אופנה ושופינג,תכשיטים ושעונים,מימוש אונליין,yes,1,1500,,https://buyme.co.il/supplier/17574171
VARDINON,לבית,טקסטיל ועיצוב הבית,"ת""א והסביבה|אילת והערבה|אשקלון, אשדוד והסביבה|הנגב|מרכז|דרום|סניפים בפריסה ארצית|מימוש אונליין",yes,,,,https://buyme.co.il/supplier/4297547
עצמל'ה,לבית|תינוקות וילדים,ריהוט|ריהוט חדרי ילדים,"ת""א והסביבה|השרון והסביבה|מודיעין, השפלה והסביבה|פתח תקווה ובקעת אונו|ירושלים והסביבה|חיפה והסביבה|אשקלון, אשדוד והסביבה|הנגב|מרכז|צפון|דרום|סניפים בפריסה ארצית|מימוש אונליין",yes,1,1500,,https://buyme.co.il/supplier/8184070
יקב אסף - קדם כפר היין,מלונות ונופש|מסעדות וקולינריה|חוויות,"וילות, צימרים ואירוח|יקבים ומבשלות|יקבים ומבשלות",צפון|הגליל והגולן,no,1,1500,מארז 3 בקבוקים - יקב אסף - כולל משלוח (295); אירוח בבקתות קדם כפר היין- לילה באמצע השבוע (1950); אירוח בבקתות קדם כפר היין- 2 לילות בסוף שבוע (4300),https://buyme.co.il/supplier/1748345
ליאור מוצרי חשמל,לבית,חשמל ואלקטרוניקה,ירושלים והסביבה|דרום|מימוש אונליין,yes,1,1500,,https://buyme.co.il/supplier/17573876
sweetime,מסעדות וקולינריה,"קונדיטוריות, קינוחים ומתוקים|חנויות קולינריה ואלכוהול",סניפים בפריסה ארצית,no,1,1500,,https://buyme.co.il/supplier/17574079
